participante;pergunta_1;pergunta_2;pergunta_3;pergunta_4;pergunta_5;pergunta_6;pergunta_7;pergunta_8;pergunta_9;pergunta_10;pergunta_11
1;2;1;2;3;4;3;1;5;1;2;1
2;4;1;1;4;4;2;2;1;3;3;1
3;4;1;1;3;1;1;2;1;1;1;1
4;4;2;2;3;1;2;2;5;2;3;1
5;4;1;2;3;2;2;2;4;1;3;1
6;3;2;2;2;1;2;2;3;2;3;1
7;4;1;1;4;1;1;2;6;1;2;2
8;2;2;1;5;4;2;2;5;1;3;1
9;4;3;2;3;4;1;2;5;1;3;1
10;4;3;2;3;4;1;2;5;2;3;1
11;2;1;1;2;5;1;2;1;1;1;1
12;1;1;1;4;5;3;2;5;2;3;1
13;4;1;1;2;4;2;2;5;1;3;1
14;4;1;2;5;4;2;2;5;1;1;1
15;4;2;1;5;4;1;2;4;1;1;1
16;4;1;1;3;4;2;2;6;1;1;1
17;4;2;1;4;2;2;2;1;2;3;1
18;4;1;1;5;5;2;2;4;1;3;1
19;2;1;2;5;4;2;2;5;3;3;1
20;2;1;2;3;4;6;2;5;2;3;1
21;-;2;2;3;2;2;2;1;1;3;1
22;2;1;1;2;2;2;2;4;1;3;1
23;1;2;2;5;4;2;2;1;1;3;1
24;4;1;2;4;4;2;2;5;2;3;1
25;2;2;2;3;2;3;2;3;1;3;1
26;4;2;2;3;2;2;2;5;3;2;1
27;4;2;3;2;4;1;2;5;1;3;1
28;4;2;1;3;4;2;2;5;1;2;1
29;4;1;1;5;4;2;2;5;1;3;1
30;4;3;1;2;2;2;2;1;1;3;1
31;4;3;2;4;2;2;2;4;1;2;1
32;4;2;2;2;4;2;2;5;3;1;1
33;4;1;1;5;1;3;2;5;1;1;1
34;4;2;1;5;3;1;2;5;1;3;1
35;4;2;2;5;1;2;2;5;2;2;1
36;4;1;2;1;4;2;2;5;3;2;1
37;2;1;2;4;4;2;2;6;2;2;1
38;4;1;2;3;4;2;2;1;1;1;1
39;4;1;2;3;4;1;2;6;3;2;1
40;2;3;2;5;2;-;-;-;-;-;-
41;4;2;1;2;4;2;2;5;1;1;1
42;4;2;1;3;4;2;5;1;3;1;1
43;3;2;2;3;2;2;2;5;2;3;1
44;4;1;2;3;1;1;2;5;3;2;1
45;2;2;2;5;4;1;2;5;1;3;1
46;2;1;1;3;1;2;2;5;2;1;1
47;4;2;1;3;2;1;2;5;1;2;1
48;4;1;2;3;2;2;1;5;1;2;1
49;4;2;2;5;4;1;2;5;3;2;1
50;4;3;1;2;4;2;2;5;1;3;1
51;1;1;1;5;1;2;2;4;2;1;1
52;4;2;2;3;4;2;2;6;1;3;1
53;1;1;1;2;4;2;2;5;3;2;1
54;1;2;1;3;1;1;2;4;1;3;1
55;4;1;2;5;4;2;2;5;1;2;1
56;4;2;2;5;4;2;2;5;1;3;1
57;4;3;2;5;4;1;1;5;1;3;1
58;4;1;2;2;5;1;2;6;1;3;1
59;4;1;2;5;2;2;2;5;1;3;1
60;4;1;2;3;2;2;2;4;2;2;1
